STATION,STATION_NAME,DATE,HPCP
COOP:317069,RALEIGH AIRPORT NC US,19520101 01:00,0.00
COOP:317069,RALEIGH AIRPORT NC US,19520104 19:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520104 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520104 21:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520104 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520104 23:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520105 00:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520105 01:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520105 02:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520105 03:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520105 05:00,0.15
COOP:317069,RALEIGH AIRPORT NC US,19520105 06:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520106 15:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520106 16:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520109 21:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520109 22:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520109 23:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520110 02:00,0.12
COOP:317069,RALEIGH AIRPORT NC US,19520110 03:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520110 04:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520110 05:00,0.17
COOP:317069,RALEIGH AIRPORT NC US,19520110 06:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520110 07:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520110 08:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520110 09:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520110 10:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520110 11:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520122 04:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520122 05:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520122 06:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520122 07:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520122 08:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520122 09:00,0.19
COOP:317069,RALEIGH AIRPORT NC US,19520122 10:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520122 11:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520122 13:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520122 14:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520122 15:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520122 16:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520122 17:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520123 00:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520123 01:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520123 02:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520128 02:00,0.29
COOP:317069,RALEIGH AIRPORT NC US,19520128 03:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520128 04:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520128 09:00,0.26
COOP:317069,RALEIGH AIRPORT NC US,19520128 10:00,0.75
